City,Rate,County
Chino*,0.07750,San Bernardino
Chiriaco Summit,0.07750,Riverside
Cholame,0.07250,San Luis Obispo
Chowchilla*,0.08750,Madera
Chualar,0.07750,Monterey
Chula Vista*,0.08750,San Diego
Cima,0.07750,San Bernardino
Citrus Heights*,0.07750,Sacramento
City of Commerce*,0.10250,Los Angeles
City of Industry*,0.09500,Los Angeles
City Terrace,0.09500,Los Angeles
Claremont*,0.09500,Los Angeles
Clarksburg,0.07250,Yolo
Clayton*,0.08750,Contra Costa
Clear Creek,0.07250,Siskiyou
Clearlake Highlands (Clearlake*),0.08750,Lake
Clearlake Oaks,0.07250,Lake
Clearlake Park (Clearlake*),0.08750,Lake
Clearlake*,0.08750,Lake
Clements,0.07750,San Joaquin
Clinter,0.07975,Fresno
Clio,0.07250,Plumas
Clipper Mills,0.07250,Butte
Cloverdale*,0.08500,Sonoma
Clovis*,0.07975,Fresno
Coachella*,0.08750,Riverside
Coalinga*,0.08975,Fresno
Coarsegold,0.07750,Madera
Cobb,0.07250,Lake
Cohasset,0.07250,Butte
Cole,0.09500,Los Angeles
Coleville,0.07250,Mono
Colfax*,0.07250,Placer
College City,0.07250,Colusa
College Grove Center,0.07750,San Diego
Colma*,0.09375,San Mateo
Coloma,0.07250,El Dorado
Colorado,0.07750,Mariposa
Colton*,0.07750,San Bernardino
Columbia,0.07250,Tuolumne
Colusa*,0.07250,Colusa
Commerce*,0.10250,Los Angeles
Comptche,0.07875,Mendocino
Compton*,0.10250,Los Angeles
Concord*,0.09750,Contra Costa
Cool,0.07250,El Dorado
Copperopolis,0.07250,Calaveras
Corcoran*,0.08250,Kings
Cornell,0.09500,Los Angeles
Corning*,0.07750,Tehama
Corona Del Mar (Newport Beach*),0.07750,Orange
Corona*,0.08750,Riverside
Coronado*,0.07750,San Diego
Corralitos,0.09000,Santa Cruz
Corte Madera*,0.09000,Marin
Coso Junction,0.07750,Inyo
Costa Mesa*,0.07750,Orange
Cotati*,0.09500,Sonoma
Coto De Caza,0.07750,Orange
Cottonwood,0.07250,Shasta
Coulterville,0.07750,Mariposa
Courtland,0.07750,Sacramento
Covelo,0.07875,Mendocino
Covina*,0.10250,Los Angeles
Cowan Heights,0.07750,Orange
Coyote,0.09125,Santa Clara
Crannell,0.07750,Humboldt
Crenshaw (Los Angeles*),0.09500,Los Angeles
Crescent City*,0.08500,Del Norte
Crescent Mills,0.07250,Plumas
Cressey,0.07750,Merced
Crest,0.07750,San Diego
Crest Park,0.07750,San Bernardino
Cresta Blanca,0.10250,Alameda
Crestline,0.07750,San Bernardino
Creston,0.07250,San Luis Obispo
Crockett,0.08750,Contra Costa
Cromberg,0.07250,Plumas
Cross Roads,0.07750,San Bernardino
Crowley Lake,0.07250,Mono
Crows Landing,0.07875,Stanislaus
Cucamonga (Rancho Cucamonga*),0.07750,San Bernardino
Cudahy*,0.10250,Los Angeles
Culver City*,0.10250,Los Angeles
Cummings,0.07875,Mendocino
Cupertino*,0.09125,Santa Clara
Curry Village,0.07750,Mariposa
Cutler,0.07750,Tulare
Cutten,0.07750,Humboldt
Cuyama,0.07750,Santa Barbara
Cypress*,0.07750,Orange
Daggett,0.07750,San Bernardino
Dairy Farm,0.07375,Solano
Daly City*,0.09875,San Mateo
Dana Point*,0.07750,Orange
Danville*,0.08750,Contra Costa
Dardanelle,0.07250,Tuolumne
Darwin,0.07750,Inyo
Davenport,0.09000,Santa Cruz
Davis Creek,0.07250,Modoc
Davis* ,0.08250,Yolo
Death Valley,0.07750,Inyo
Death Valley Junction,0.07750,Inyo
Deer Park,0.07750,Napa
Del Kern (Bakersfield*),0.08250,Kern
Del Mar Heights (Morro Bay*),0.07750,San Luis Obispo
Del Mar*,0.08750,San Diego
Del Monte Grove (Monterey*),0.09250,Monterey
Del Rey,0.07975,Fresno
Del Rey Oaks*,0.09250,Monterey
Del Rosa,0.07750,San Bernardino
Del Sur,0.09500,Los Angeles
Delano*,0.08250,Kern
Deleven,0.07250,Colusa
Delhi,0.07750,Merced
Denair,0.07875,Stanislaus
Denny,0.07250,Trinity
Descanso,0.07750,San Diego
Desert Center,0.07750,Riverside
Desert Hot Springs*,0.07750,Riverside
Di Giorgio,0.07250,Kern
Diablo,0.08750,Contra Costa
Diamond Bar*,0.09500,Los Angeles
Diamond Springs,0.07250,El Dorado
Dillon Beach,0.08250,Marin
Dinkey Creek,0.07975,Fresno
Dinuba*,0.08500,Tulare
Discovery Bay,0.08750,Contra Costa
Dixon*,0.07375,Solano
Dobbins,0.08250,Yuba
Dogtown,0.08250,Marin
Dollar Ranch,0.08750,Contra Costa
Dorris*,0.07250,Siskiyou
Dos Palos*,0.07750,Merced
Dos Rios,0.07875,Mendocino
Douglas City,0.07250,Trinity
Douglas Flat,0.07250,Calaveras
Downey*,0.10000,Los Angeles
Downieville,0.07250,Sierra
Doyle,0.07250,Lassen
Drytown,0.07750,Amador
Duarte*,0.10250,Los Angeles
Dublin*,0.10250,Alameda
Ducor,0.07750,Tulare
Dulzura,0.07750,San Diego
Duncans Mills,0.08500,Sonoma
Dunlap,0.07975,Fresno
Dunnigan,0.07250,Yolo
Dunsmuir*,0.07750,Siskiyou
Durham,0.07250,Butte
Dutch Flat,0.07250,Placer
Eagle Mountain,0.07750,Riverside
Eagle Rock (Los Angeles*),0.09500,Los Angeles
Eagleville,0.07250,Modoc
Earlimart,0.07750,Tulare
Earp,0.07750,San Bernardino
East Highlands (Highland*),0.07750,San Bernardino
East Irvine (Irvine*),0.07750,Orange
East Los Angeles,0.09500,Los Angeles
East Lynwood (Lynwood*),0.10250,Los Angeles
East Nicolaus,0.07250,Sutter
East Palo Alto*,0.09875,San Mateo
East Porterville,0.07750,Tulare
East Rancho Dominguez,0.09500,Los Angeles
East San Pedro (Los Angeles*),0.09500,Los Angeles
Eastgate,0.09500,Los Angeles
Easton,0.07975,Fresno
Eastside,0.07750,San Bernardino
Eastvale*,0.07750,Riverside
Echo Lake,0.07250,El Dorado
Echo Park (Los Angeles*),0.09500,Los Angeles
Edgemont (Moreno Valley*),0.07750,Riverside
Edgewood,0.07250,Siskiyou
Edison,0.07250,Kern
Edwards,0.07250,Kern
Edwards A.F.B.,0.07250,Kern
El Cajon*,0.08250,San Diego
El Centro*,0.08250,Imperial
El Cerrito*,0.10250,Contra Costa
El Dorado,0.07250,El Dorado
El Dorado Hills,0.07250,El Dorado
El Granada,0.09375,San Mateo
El Macero,0.07250,Yolo
El Modena,0.07750,Orange
El Monte*,0.10000,Los Angeles
El Nido,0.07750,Merced
El Portal,0.07750,Mariposa
El Segundo*,0.09500,Los Angeles
El Sobrante,0.08750,Contra Costa
El Toro (Lake Forest*),0.07750,Orange
El Toro M.C.A.S.,0.07750,Orange
El Verano,0.08500,Sonoma
El Viejo,0.07875,Stanislaus
Eldridge,0.08500,Sonoma
Elizabeth Lake,0.09500,Los Angeles
Elk,0.07875,Mendocino
Elk Creek,0.07250,Glenn
Elk Grove*,0.07750,Sacramento
Elmira,0.07375,Solano
Elmwood,0.10250,Alameda
Elverta,0.07750,Sacramento
Emerald Hills (Redwood City*),0.09875,San Mateo
Emeryville*,0.10500,Alameda
Emigrant Gap,0.07250,Placer
Empire,0.07875,Stanislaus
Encinitas*,0.07750,San Diego
Encino (Los Angeles*),0.09500,Los Angeles
Enterprise,0.07250,Shasta
Escalon*,0.07750,San Joaquin
Escondido*,0.07750,San Diego
Esparto,0.07250,Yolo
Essex,0.07750,San Bernardino
Etiwanda (Rancho Cucamonga*),0.07750,San Bernardino
Etna*,0.07250,Siskiyou
Ettersburg,0.07750,Humboldt
Eureka*,0.09250,Humboldt
Exeter*,0.08750,Tulare
Fair Oaks,0.07750,Sacramento
Fairfax*,0.09000,Marin
Fairfield*,0.08375,Solano
Fairmount,0.08750,Contra Costa
Fall River Mills,0.07250,Shasta
Fallbrook,0.07750,San Diego
Fallbrook Junction,0.07750,San Diego
Fallen Leaf,0.07250,El Dorado
Fallon,0.08250,Marin
Fancher,0.07975,Fresno
Farmersville*,0.08750,Tulare
Farmington,0.07750,San Joaquin
Fawnskin,0.07750,San Bernardino
Feather Falls,0.07250,Butte
Fellows,0.07250,Kern
Felton,0.09000,Santa Cruz
Fenner,0.07750,San Bernardino
Fernbridge (Fortuna*),0.08500,Humboldt
Ferndale*,0.07750,Humboldt
Fiddletown,0.07750,Amador
Fields Landing,0.07750,Humboldt
Fig Garden Village (Fresno*),0.07975,Fresno
Fillmore*,0.07250,Ventura
Finley,0.07250,Lake
Firebaugh*,0.07975,Fresno
Fish Camp,0.07750,Mariposa
Five Points,0.07975,Fresno
Flinn Springs,0.07750,San Diego
Flintridge (LaCanada/ Flintridge*),0.09500,Los Angeles
Florence,0.09500,Los Angeles
Floriston,0.07500,Nevada
Flournoy,0.07250,Tehama
Folsom*,0.07750,Sacramento
Fontana*,0.07750,San Bernardino
Foothill Ranch,0.07750,Orange
Forbestown,0.07250,Butte
Forest Falls,0.07750,San Bernardino
Forest Glen,0.07250,Trinity
Forest Knolls,0.08250,Marin
Forest Park,0.09500,Los Angeles
Forest Ranch,0.07250,Butte
Foresthill,0.07250,Placer
Forestville,0.08500,Sonoma
Forks of Salmon,0.07250,Siskiyou
Fort Bidwell,0.07250,Modoc
Fort Bragg*,0.08875,Mendocino
Fort Dick,0.08500,Del Norte
Fort Irwin,0.07750,San Bernardino
Fort Jones*,0.07250,Siskiyou
Fort Ord,0.07750,Monterey
Fort Ord (Marina*),0.09250,Monterey
Fort Ord (Seaside*),0.09250,Monterey
Fort Seward,0.07750,Humboldt
Fortuna*,0.08500,Humboldt
Foster City*,0.09375,San Mateo
Fountain Valley*,0.08750,Orange
Fowler*,0.08975,Fresno
Frazier Park,0.07250,Kern
Freedom,0.09000,Santa Cruz
Freedom (Watsonville*),0.09250,Santa Cruz
Freeport,0.07750,Sacramento
Freestone,0.08500,Sonoma
Fremont*,0.10250,Alameda
French Camp,0.07750,San Joaquin
French Gulch,0.07250,Shasta
Freshwater,0.07750,Humboldt
Fresno*,0.08350,Fresno
Friant,0.07975,Fresno
Friendly Valley (Santa Clarita*),0.09500,Los Angeles
Frontera,0.07750,Riverside
Fullerton*,0.07750,Orange
Fulton,0.08500,Sonoma
Galt*,0.08250,Sacramento
Garberville,0.07750,Humboldt
Garden Grove*,0.08750,Orange
Garden Valley,0.07250,El Dorado
Gardena*,0.10250,Los Angeles
Garey,0.07750,Santa Barbara
Garnet,0.07750,Riverside
Gasquet,0.08500,Del Norte
Gaviota,0.07750,Santa Barbara
Gazelle,0.07250,Siskiyou
George A.F.B.,0.07750,San Bernardino
Georgetown,0.07250,El Dorado
Gerber,0.07250,Tehama
Geyserville,0.08500,Sonoma
Giant Forest,0.07750,Tulare
Gillman Hot Springs,0.07750,Riverside
Gilroy*,0.09125,Santa Clara
Glassell Park (Los Angeles*),0.09500,Los Angeles
Glen Avon,0.07750,Riverside
Glen Ellen,0.08500,Sonoma
Glenburn,0.07250,Shasta
Glencoe,0.07250,Calaveras
Glendale*,0.10250,Los Angeles
Glendora*,0.10250,Los Angeles
Glenhaven,0.07250,Lake
Glenn,0.07250,Glenn
Glennville,0.07250,Kern
Gold River,0.07750,Sacramento
Gold Run,0.07250,Placer
Golden Hills,0.07250,Kern
Goleta*,0.07750,Santa Barbara
Gonzales*,0.08750,Monterey
Goodyears Bar,0.07250,Sierra
Gorman,0.09500,Los Angeles
Goshen,0.07750,Tulare
Government Island,0.10250,Alameda
Graeagle,0.07250,Plumas
Granada Hills (Los Angeles*),0.09500,Los Angeles
Grand Terrace*,0.07750,San Bernardino
Granite Bay,0.07250,Placer
Grass Valley*,0.08500,Nevada
Graton,0.08500,Sonoma
Green Valley,0.09500,Los Angeles
Green Valley Lake,0.07750,San Bernardino
Greenacres,0.07250,Kern
