year,city,county,rate,state
2022,Robbins,Sutter,0.0725,CA
2022,Rocklin,Placer,0.0725,CA
2022,Rosamond,Kern,0.0725,CA
2022,Round Mountain,Shasta,0.0725,CA
2022,Rumsey,Yolo,0.0725,CA
2022,Ruth,Trinity,0.0725,CA
2022,Salyer,Trinity,0.0725,CA
2022,San Andreas,Calaveras,0.0725,CA
2022,San Miguel,San Luis Obispo,0.0725,CA
2022,San Simeon,San Luis Obispo,0.0725,CA
2022,Santa Margarita,San Luis Obispo,0.0725,CA
2022,Santa Rosa Valley,Ventura,0.0725,CA
2022,Saticoy,Ventura,0.0725,CA
2022,Sattley,Sierra,0.0725,CA
2022,Sawyers Bar,Siskiyou,0.0725,CA
2022,Scott Bar,Siskiyou,0.0725,CA
2022,Seiad Valley,Siskiyou,0.0725,CA
2022,Shafter,Kern,0.0725,CA
2022,Shandon,San Luis Obispo,0.0725,CA
2022,Shasta,Shasta,0.0725,CA
2022,Shasta Lake,Shasta,0.0725,CA
2022,Sheepranch,Calaveras,0.0725,CA
2022,Sheridan,Placer,0.0725,CA
2022,Sherwin Plaza,Mono,0.0725,CA
2022,Shingle Springs,El Dorado,0.0725,CA
2022,Shingletown,Shasta,0.0725,CA
2022,Sierra City,Sierra,0.0725,CA
2022,Sierraville,Sierra,0.0725,CA
2022,Simi Valley,Ventura,0.0725,CA
2022,Sites,Colusa,0.0725,CA
2022,Sloat,Plumas,0.0725,CA
2022,Smithflat,El Dorado,0.0725,CA
2022,Somerset,El Dorado,0.0725,CA
2022,Somes Bar,Siskiyou,0.0725,CA
2022,Somis,Ventura,0.0725,CA
2022,Soulsbyville,Tuolumne,0.0725,CA
2022,Spring Garden,Plumas,0.0725,CA
2022,Standard,Tuolumne,0.0725,CA
2022,Standish,Lassen,0.0725,CA
2022,Stanislaus,Tuolumne,0.0725,CA
2022,Stirling City,Butte,0.0725,CA
2022,Stonyford,Colusa,0.0725,CA
2022,Storrie,Plumas,0.0725,CA
