City,Rate,County
Caspar,0.07875,Mendocino
Cassel,0.0725,Shasta
Castaic,0.095,Los Angeles
Castella,0.0725,Shasta
Castle A.F.B.,0.0775,Merced
Castro Valley,0.0925,Alameda
Castroville,0.0775,Monterey
Cathedral City,0.0875,Riverside
Catheys Valley,0.0775,Mariposa
Cayucos,0.0725,San Luis Obispo
Cazadero,0.0825,Sonoma
Cecilville,0.0725,Siskiyou
Cedar,0.095,Los Angeles
Cedar Crest,0.07975,Fresno
Cedar Glen,0.0775,San Bernardino
Cedar Ridge,0.075,Nevada
Cedarpines Park,0.0775,San Bernardino
Cedarville,0.0725,Modoc
Central Valley,0.0725,Shasta
Century City (Los Angeles),0.095,Los Angeles
Ceres,0.08375,Stanislaus
Cerritos,0.095,Los Angeles
Challenge,0.0825,Yuba
Chambers Lodge,0.0725,Placer
Charter Oak,0.095,Los Angeles
Chatsworth (Los Angeles),0.095,Los Angeles
Cherry Valley,0.0775,Riverside
Chester,0.0725,Plumas
Chicago Park,0.075,Nevada
Chico,0.0725,Butte
Chilcoot,0.0725,Plumas
China Lake NWC (Ridgecrest),0.0825,Kern
Chinese Camp,0.0725,Tuolumne
Chino Hills,0.0775,San Bernardino
Chino,0.0775,San Bernardino
Chiriaco Summit,0.0775,Riverside
Cholame,0.0725,San Luis Obispo
Chowchilla,0.0875,Madera
Chualar,0.0775,Monterey
Chula Vista,0.0875,San Diego
Cima,0.0775,San Bernardino
Citrus Heights,0.0775,Sacramento
City of Commerce,0.1,Los Angeles
City of Industry,0.095,Los Angeles
City Terrace,0.095,Los Angeles
Claremont,0.095,Los Angeles
Clarksburg,0.0725,Yolo
Clayton,0.0825,Contra Costa
Clear Creek,0.0725,Siskiyou
Clearlake Highlands (Clearlake),0.0875,Lake
Clearlake Oaks,0.0725,Lake
Clearlake Park (Clearlake),0.0875,Lake
Clearlake,0.0875,Lake
Clements,0.0775,San Joaquin
Clinter,0.07975,Fresno
Clio,0.0725,Plumas
Clipper Mills,0.0725,Butte
Cloverdale,0.0825,Sonoma
Clovis,0.07975,Fresno
Coachella,0.0875,Riverside
Coalinga,0.08975,Fresno
Coarsegold,0.0775,Madera
Cobb,0.0725,Lake
Cohasset,0.0725,Butte
Cole,0.095,Los Angeles
Coleville,0.0725,Mono
Colfax,0.0725,Placer
College City,0.0725,Colusa
College Grove Center,0.0775,San Diego
Colma,0.0925,San Mateo
Coloma,0.0725,El Dorado
Colorado,0.0775,Mariposa
Colton,0.0775,San Bernardino
Columbia,0.0725,Tuolumne
Colusa,0.0725,Colusa
Commerce,0.1,Los Angeles
Comptche,0.07875,Mendocino
Compton,0.1025,Los Angeles
Concord,0.0875,Contra Costa
Cool,0.0725,El Dorado
Copperopolis,0.0725,Calaveras
Corcoran,0.0825,Kings
Cornell,0.095,Los Angeles
Corning,0.0775,Tehama
Corona Del Mar (Newport Beach),0.0775,Orange
Corona,0.0775,Riverside
Coronado,0.0775,San Diego
Corralitos,0.09,Santa Cruz
Corte Madera,0.09,Marin
Coso Junction,0.0775,Inyo
Costa Mesa,0.0775,Orange
Cotati,0.0925,Sonoma
Coto De Caza,0.0775,Orange
Cottonwood,0.0725,Shasta
Coulterville,0.0775,Mariposa
Courtland,0.0775,Sacramento
Covelo,0.07875,Mendocino
Covina,0.1025,Los Angeles
Cowan Heights,0.0775,Orange
Coyote,0.09,Santa Clara
Crannell,0.0775,Humboldt
Crenshaw (Los Angeles),0.095,Los Angeles
Crescent City,0.075,Del Norte
Crescent Mills,0.0725,Plumas
Cressey,0.0775,Merced
Crest,0.0775,San Diego
Crest Park,0.0775,San Bernardino
Cresta Blanca,0.0925,Alameda
Crestline,0.0775,San Bernardino
Creston,0.0725,San Luis Obispo
Crockett,0.0825,Contra Costa
Cromberg,0.0725,Plumas
Cross Roads,0.0775,San Bernardino
Crowley Lake,0.0725,Mono
Crows Landing,0.07875,Stanislaus
Cucamonga (Rancho Cucamonga),0.0775,San Bernardino
Cudahy,0.1025,Los Angeles
Culver City,0.1025,Los Angeles
Cummings,0.07875,Mendocino
Cupertino,0.09,Santa Clara
Curry Village,0.0775,Mariposa
Cutler,0.0775,Tulare
Cutten,0.0775,Humboldt
Cuyama,0.0775,Santa Barbara
Cypress,0.0775,Orange
Daggett,0.0775,San Bernardino
Dairy Farm,0.07375,Solano
Daly City,0.0925,San Mateo
Dana Point,0.0775,Orange
Danville,0.0825,Contra Costa
Dardanelle,0.0725,Tuolumne
Darwin,0.0775,Inyo
Davenport,0.09,Santa Cruz
Davis Creek,0.0725,Modoc
Davis ,0.0825,Yolo
Death Valley,0.0775,Inyo
Death Valley Junction,0.0775,Inyo
Deer Park,0.0775,Napa
Del Kern (Bakersfield),0.0825,Kern
Del Mar Heights (Morro Bay),0.0775,San Luis Obispo
Del Mar,0.0875,San Diego
Del Monte Grove (Monterey),0.0875,Monterey
Del Rey,0.07975,Fresno
Del Rey Oaks,0.0925,Monterey
Del Rosa,0.0775,San Bernardino
Del Sur,0.095,Los Angeles
Delano,0.0825,Kern
Deleven,0.0725,Colusa
Delhi,0.0775,Merced
Denair,0.07875,Stanislaus
Denny,0.0725,Trinity
Descanso,0.0775,San Diego
Desert Center,0.0775,Riverside
Desert Hot Springs,0.0775,Riverside
Di Giorgio,0.0725,Kern
Diablo,0.0825,Contra Costa
Diamond Bar,0.095,Los Angeles
Diamond Springs,0.0725,El Dorado
Dillon Beach,0.0825,Marin
Dinkey Creek,0.07975,Fresno
Dinuba,0.085,Tulare
Discovery Bay,0.0825,Contra Costa
Dixon,0.07375,Solano
Dobbins,0.0825,Yuba
Dogtown,0.0825,Marin
Dollar Ranch,0.0825,Contra Costa
Dorris,0.0725,Siskiyou
Dos Palos,0.0775,Merced
Dos Rios,0.07875,Mendocino
Douglas City,0.0725,Trinity
Douglas Flat,0.0725,Calaveras
Downey,0.1,Los Angeles
Downieville,0.0725,Sierra
Doyle,0.0725,Lassen
Drytown,0.0775,Amador
Duarte,0.095,Los Angeles
Dublin,0.0925,Alameda
Ducor,0.0775,Tulare
Dulzura,0.0775,San Diego
Duncans Mills,0.0825,Sonoma
Dunlap,0.07975,Fresno
Dunnigan,0.0725,Yolo
Dunsmuir,0.0775,Siskiyou
Durham,0.0725,Butte
Dutch Flat,0.0725,Placer
Eagle Mountain,0.0775,Riverside
Eagle Rock (Los Angeles),0.095,Los Angeles
Eagleville,0.0725,Modoc
Earlimart,0.0775,Tulare
Earp,0.0775,San Bernardino
East Highlands (Highland),0.0775,San Bernardino
East Irvine (Irvine),0.0775,Orange
East Los Angeles,0.095,Los Angeles
East Lynwood (Lynwood),0.1025,Los Angeles
East Nicolaus,0.0725,Sutter
East Palo Alto,0.0975,San Mateo
East Porterville,0.0775,Tulare
East Rancho Dominguez,0.095,Los Angeles
East San Pedro (Los Angeles),0.095,Los Angeles
Eastgate,0.095,Los Angeles
Easton,0.07975,Fresno
Eastside,0.0775,San Bernardino
Eastvale,0.0775,Riverside
